Id,tableId,rowIndex,status_bin,status_txt,status,status_code,predicted_prob,predicted_status_code,predicted_status_label,unresolved_prob,resolved_prob
1,0114daa6-c048-4081-b4cf-7a9d7461fa44,1,Unresolved,Monitor in 2018.,Unresolved,0,[0.99224335 0.00775662],0,Unresolved,0.99224335,0.007756624
2,0114daa6-c048-4081-b4cf-7a9d7461fa44,2,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.99127674 0.00872322],0,Unresolved,0.99127674,0.008723219
3,0114daa6-c048-4081-b4cf-7a9d7461fa44,3,Unresolved,Remove erosion log.,Unresolved,0,[0.78426147 0.21573852],0,Unresolved,0.78426147,0.21573852
4,0114daa6-c048-4081-b4cf-7a9d7461fa44,4,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9905793  0.00942064],0,Unresolved,0.9905793,0.009420641
5,0114daa6-c048-4081-b4cf-7a9d7461fa44,5,Unresolved,Remove sediment fence.,Unresolved,0,[0.74150795 0.25849205],0,Unresolved,0.74150795,0.25849205
6,0114daa6-c048-4081-b4cf-7a9d7461fa44,6,Resolved – weed hand-pulled,None.,Resolved,1,[6.0324534e-04 9.9939680e-01],1,Resolved,0.000603245,0.9993968
7,0114daa6-c048-4081-b4cf-7a9d7461fa44,7,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9915788  0.00842119],0,Unresolved,0.9915788,0.008421193
8,0114daa6-c048-4081-b4cf-7a9d7461fa44,8,Unresolved,Monitor in 2018. Low vegetation establishment is consistent with Year 1 expectations.,Unresolved,0,[0.9925667  0.00743328],0,Unresolved,0.9925667,0.007433279
9,0114daa6-c048-4081-b4cf-7a9d7461fa44,9,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9911758  0.00882423],0,Unresolved,0.9911758,0.008824228
13,0114daa6-c048-4081-b4cf-7a9d7461fa44,13,Unresolved,Repair and monitor in 2018.,Unresolved,0,[0.98906696 0.0109331 ],0,Unresolved,0.98906696,0.010933097
14,0114daa6-c048-4081-b4cf-7a9d7461fa44,14,Resolved,Remove sediment fencing.,Resolved,1,[0.7736186  0.22638138],0,Unresolved,0.7736186,0.22638138
15,0114daa6-c048-4081-b4cf-7a9d7461fa44,15,Unresolved,Monitor in 2018. No action required. Normal farming practices will control weeds.,Unresolved,0,[0.99027693 0.00972309],0,Unresolved,0.99027693,0.009723087
16,0114daa6-c048-4081-b4cf-7a9d7461fa44,16,Unresolved,Repair erosion and monitor in 2018.,Unresolved,0,[0.9934737  0.00652623],0,Unresolved,0.9934737,0.006526234
17,0114daa6-c048-4081-b4cf-7a9d7461fa44,17,Unresolved,Area has ongoing development. Monitor in 2018 and determine if landowner would like topsoil replaced.,Unresolved,0,[0.98874    0.01125999],0,Unresolved,0.98874,0.011259993
18,0114daa6-c048-4081-b4cf-7a9d7461fa44,18,Unresolved,Monitor in 2018. Land use is not affected.,Unresolved,0,[0.98704195 0.01295801],0,Unresolved,0.98704195,0.01295801
19,0114daa6-c048-4081-b4cf-7a9d7461fa44,19,Unresolved,Seed area and monitor in 2018. Control weeds as required.,Unresolved,0,[0.9856205  0.01437948],0,Unresolved,0.9856205,0.014379476
22,0114daa6-c048-4081-b4cf-7a9d7461fa44,22,Unresolved,"Monitor in 2018. If compaction continues to affect vegetation establishment, mitigation may be required.",Unresolved,0,[0.99065804 0.0093419 ],0,Unresolved,0.99065804,0.009341902
23,0114daa6-c048-4081-b4cf-7a9d7461fa44,23,Unresolved,Repair erosion and monitor in 2018.,Unresolved,0,[0.9916469  0.00835303],0,Unresolved,0.9916469,0.008353029
24,0114daa6-c048-4081-b4cf-7a9d7461fa44,24,Unresolved,Monitor in 2018. Low vegetation establishment is consistent with Year 1 expectations.,Unresolved,0,[0.9910534  0.00894665],0,Unresolved,0.9910534,0.008946652
25,0114daa6-c048-4081-b4cf-7a9d7461fa44,25,Unresolved,Monitor in 2018. No risk to the environment is currently posed.,Unresolved,0,[0.99115527 0.0088447 ],0,Unresolved,0.99115527,0.008844697
26,0114daa6-c048-4081-b4cf-7a9d7461fa44,26,Unresolved,Monitor in 2018. No action required. Normal farming practices will control weeds.,Unresolved,0,[0.98923266 0.01076727],0,Unresolved,0.98923266,0.01076727
27,0114daa6-c048-4081-b4cf-7a9d7461fa44,27,Unresolved,Monitor in 2018 and implement weed control as required.,Unresolved,0,[0.9909423  0.00905768],0,Unresolved,0.9909423,0.009057677
